MSNO,total_dur,PostalCode,lat,long,address
40411,900.0,460547,1.33033113628205,103.925432072872,547 BEDOK NORTH STREET 3 BEDOK NORTH GREEN SINGAPORE 460547
40418,1200.0,461188,1.33163353101368,103.941371320775,188A BEDOK NORTH STREET 4 FENGSHAN GREENVILLE SINGAPORE 461188
40422,360.0,470107,1.32987028916159,103.909220387915,107 BEDOK RESERVOIR ROAD EUNOS VISTA SINGAPORE 470107
40423,360.0,470113,1.3299667100249,103.910782526741,113 BEDOK RESERVOIR ROAD EUNOS VISTA SINGAPORE 470113
40427,360.0,470139,1.33462453350019,103.913777679684,139 BEDOK RESERVOIR ROAD EUNOS SPRING SINGAPORE 470139
40429,1560.0,470605,1.33023693207314,103.913508109392,605 BEDOK RESERVOIR ROAD EUNOS RAINBOW SINGAPORE 470605
40435,240.0,470704,1.33635490577951,103.920203566512,704 BEDOK RESERVOIR ROAD RESERVOIR RISE SINGAPORE 470704
40455,2160.0,461001,1.32796879176302,103.922716018139,1 CHAI CHEE ROAD PING YI GARDENS SINGAPORE 461001
40456,570.0,461021,1.32577850604228,103.922424710131,21 CHAI CHEE ROAD PING-AN GARDENS SINGAPORE 461021
40481,3600.0,510460,1.37095910000001,103.959051431497,460 PASIR RIS DRIVE 4 SINGAPORE 510460
40487,625.0,510469,1.37349977144258,103.957588753401,469 PASIR RIS DRIVE 6 SINGAPORE 510469
40488,720.0,510473,1.37449502119344,103.95736253025,473 PASIR RIS DRIVE 6 SINGAPORE 510473
40489,600.0,510473,1.37449502119344,103.95736253025,473 PASIR RIS DRIVE 6 SINGAPORE 510473
40491,2160.0,510113,1.36805525886307,103.955767151318,113 PASIR RIS STREET 11 SINGAPORE 510113
40521,360.0,520155,1.34469945127151,103.958210105786,155 SIMEI ROAD SINGAPORE 520155
40522,2280.0,520112,1.3431095844731,103.949559595972,112 SIMEI STREET 1 SINGAPORE 520112
40525,2400.0,520130,1.3462129331016,103.954814919344,130 SIMEI STREET 1 SINGAPORE 520130
40530,60.0,520244,1.34381139061039,103.954503239744,244 SIMEI STREET 5 SINGAPORE 520244
40531,240.0,523623,1.36114474886559,103.941672812003,623C TAMPINES AVENUE 12 TAMPINES GREENVERGE SINGAPORE 523623
40532,2160.0,522624,1.36208192828081,103.941460559689,624B TAMPINES AVENUE 12 TAMPINES GREENVERGE SINGAPORE 522624
40538,360.0,521859,1.35506307407851,103.938057162871,859A TAMPINES AVENUE 5 TAMPINES PARKVIEW SINGAPORE 521859
40539,1080.0,520392,1.35519267346936,103.957473809347,392 TAMPINES AVENUE 7 SINGAPORE 520392
40542,720.0,522879,1.35158903554129,103.928804430639,879B TAMPINES AVENUE 8 TAMPINES GREENFOREST SINGAPORE 522879
40544,300.0,523601,1.36137360614437,103.937271692223,601C TAMPINES AVENUE 9 TAMPINES GREENRIDGES SINGAPORE 523601
40545,450.0,520505,1.3555484823662,103.945616071023,505 TAMPINES CENTRAL 1 TAMPINES HEART SINGAPORE 520505
40545,450.0,520505,1.3555484823662,103.945616071023,505 TAMPINES CENTRAL 1 TAMPINES HEART SINGAPORE 520505
40546,225.0,521515,1.35696557399587,103.938383041261,515A TAMPINES CENTRAL 7 THE PREMIERE @ TAMPINES SINGAPORE 521515
40551,120.0,522613,1.366081228979,103.936008325034,613B TAMPINES NORTH DRIVE 1 TAMPINES GREENVIEW SINGAPORE 522613
40578,120.0,524230,1.35593242580821,103.952746609869,230 TAMPINES STREET 24 SINGAPORE 524230
40581,45.0,520320,1.35070181299016,103.957051873318,320 TAMPINES STREET 33 BETHLEHEM EDUCARE CENTRE SINGAPORE 520320
40583,480.0,520354,1.35486140227222,103.962498873896,354 TAMPINES STREET 33 SINGAPORE 520354
40587,720.0,520421,1.35751860691899,103.947536321519,421 TAMPINES STREET 41 SUN PLAZA GARDENS SINGAPORE 520421
40589,40.0,520429,1.3590857124975,103.949767162999,429 TAMPINES STREET 41 SINGAPORE 520429
40593,2400.0,520449,1.35702424225032,103.951054363893,449 TAMPINES STREET 42 SINGAPORE 520449
40594,500.0,523450,1.35713537771761,103.952252237838,450C TAMPINES STREET 42 SINGAPORE 523450
40603,540.0,522497,1.35825224846357,103.958367367376,497C TAMPINES STREET 45 PRODIGY PRESCHOOL SINGAPORE 522497
40606,2640.0,525498,1.36227844944127,103.958121867302,498G TAMPINES STREET 45 SINGAPORE 525498
40608,720.0,521626,1.36269737798724,103.940131457766,626A TAMPINES STREET 61 TAMPINES GREENVERGE SINGAPORE 521626
40661,210.0,560471,1.36346600647245,103.856702918462,471 ANG MO KIO AVENUE 10 TECK GHEE HORIZON SINGAPORE 560471
40668,1200.0,560102,1.37065009769471,103.839410339836,102 ANG MO KIO AVENUE 3 KEBUN BARU HEIGHTS SINGAPORE 560102
40675,450.0,560233,1.36754924977907,103.836740628478,233 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560233
40688,1080.0,560112,1.37127865145519,103.835766565741,112 ANG MO KIO AVENUE 4 KEBUN BARU HEIGHTS SINGAPORE 560112
40695,360.0,560629,1.38010465081465,103.840408680468,629 ANG MO KIO AVENUE 4 DBS ANG MO KIO NORTH BRANCH SINGAPORE 560629
40728,180.0,530121,1.3538605933002,103.886936534381,121 HOUGANG AVENUE 1 SINGAPORE 530121
40738,480.0,530018,1.36321657536108,103.891929615677,18 HOUGANG AVENUE 3 HOUGANG VIEW SINGAPORE 530018
40740,180.0,530020,1.36383191186374,103.890737667635,20 HOUGANG AVENUE 3 HOUGANG VIEW SINGAPORE 530020
40741,360.0,530251,1.35995683095297,103.89162926387,251 HOUGANG AVENUE 3 SINGAPORE 530251
