MSNO,total_dur,PostalCode
41314,6240.0,650210
41317,4000.0,650216
41329,6300.0,650331
41329,6300.0,650331
41334,630.0,650509
41334,630.0,650509
41334,630.0,650509
41334,630.0,650509
41335,450.0,650523
41350,322.5,652451
41350,322.5,652451
41350,322.5,652451
41350,322.5,652451
41352,1950.0,650403
41352,1950.0,650403
41360,330.0,652449
41360,330.0,652449
41363,1760.0,651468
41363,1760.0,651468
41364,3600.0,670254
41365,240.0,670234
41366,1920.0,670239
41372,180.0,670401
41372,180.0,670401
41372,180.0,670401
41373,10950.0,670407
41374,60.0,670441
41376,180.0,672442
41378,1860.0,670454
41379,2880.0,670454
41384,2400.0,670511
41388,30.0,670538
41393,21900.0,670126
41396,2160.0,670142
41396,2160.0,670142
41396,2160.0,670142
41397,7200.0,670142
41398,135.0,670150
41398,135.0,670150
41399,720.0,670201
41401,1175.0,670211
41401,1175.0,670211
41407,360.0,670459
41408,360.0,670467
41418,210.0,670629
41418,210.0,670629
41419,2880.0,670629
41420,10950.0,670630
41423,11520.0,673633
41427,1470.0,684808
41427,1470.0,684808
41432,2850.0,683297
41432,2850.0,683297
41436,1080.0,680413
41437,1800.0,680473
41437,1800.0,680473
41437,1800.0,680473
41438,4680.0,680307
41438,4680.0,680307
41449,3840.0,680485
41449,3840.0,680485
41455,720.0,681810
41455,720.0,681810
41464,15240.0,680670
41464,15240.0,680670
41487,1440.0,680606
41487,1440.0,680606
41487,1440.0,680606
41494,14400.0,681803
41525,6240.0,120371
41526,3120.0,120342
41549,720.0,600111
41552,9000.0,600216
41552,9000.0,600216
41553,34560.0,600218
41553,34560.0,600218
41554,30.0,601219
41558,1440.0,601287
41558,1440.0,601287
41564,2700.0,600306
41564,2700.0,600306
41565,9360.0,600306
41567,1440.0,600307
41567,1440.0,600307
41568,6975.0,600308
41568,6975.0,600308
41569,2340.0,600308
41569,2340.0,600308
41574,6240.0,600021
41577,795.0,600043
41577,795.0,600043
41582,1825.0,640185
41584,3600.0,642216
41587,11700.0,642180
41593,720.0,640263
41598,4320.0,614140
41605,2160.0,640485
41612,3650.0,642679
41614,675.0,640687
41620,10500.0,640468
41622,1800.0,640474
41623,5100.0,640481
41625,840.0,640413
41633,1560.0,640522
41637,1800.0,640534
41644,43800.0,641660
41646,840.0,642661
41646,840.0,642661
41650,2160.0,641665
41651,900.0,641668
41651,900.0,641668
41656,960.0,640629
41656,960.0,640629
41657,600.0,640632
41661,1440.0,643659
41661,1440.0,643659
41665,3300.0,641671
41667,4320.0,640704
41671,15.0,640745
41673,7200.0,640766
41694,21600.0,610323
41700,1200.0,610184
49001,300.0,821405
49002,180.0,822405
49003,300.0,821406
49004,1020.0,822406
49008,75.0,823408
49010,1200.0,822409
49011,300.0,823409
49011,300.0,823409
49012,1825.0,824409
4001301,400.0,090102
4001701,2400.0,090115
4001701,2400.0,090115
4001701,2400.0,090115
4002101,6000.0,080009
4002701,15300.0,101109
4007101,1620.0,090017
4007101,1620.0,090017
4007101,1620.0,090017
4007401,1845.0,090004
4007401,1845.0,090004
4007501,2925.0,090008
4007601,90.0,100054
4007601,90.0,100054
4007701,14400.0,100055
4007701,14400.0,100055
4007701,14400.0,100055
4008001,400.0,100086
4008001,400.0,100086
4008001,400.0,100086
4008101,720.0,090030
4008202,720.0,090030
4008202,720.0,090030
4008301,960.0,090030
4008301,960.0,090030
4008401,1200.0,090040
4008401,1200.0,090040
4008401,1200.0,090040
4008401,1200.0,090040
4008901,120.0,570147
4009001,1440.0,570150
4009201,1800.0,570102
4009201,1800.0,570102
4009301,780.0,570112
4009401,1500.0,570130
4009901,2880.0,570170
4010001,8640.0,570172
4010501,120.0,570292
4010601,1500.0,570201
4010601,1500.0,570201
4010701,900.0,570227
4010801,18000.0,570266
4011101,21600.0,570290
4011401,270.0,570449
4011401,270.0,570449
4011501,2115.0,570453
4012001,6000.0,590003
4012101,4365.0,590007
4012101,4365.0,590007
4012201,240.0,380102
4012601,3120.0,390052
4012601,3120.0,390052
4012701,18720.0,370034
4012901,180.0,370039
4013201,2880.0,370057
4013201,2880.0,370057
4013201,2880.0,370057
4013301,5200.0,370060
4013501,600.0,371082
4014001,240.0,400023
4014701,240.0,430004
4014901,12480.0,390049
4014901,12480.0,390049
4014901,12480.0,390049
4015701,780.0,381043
4016001,900.0,380063
4016101,300.0,400301
4017201,1500.0,210049
4017401,300.0,210012
4017701,1560.0,330056
4017801,8580.0,330061
4017801,8580.0,330061
4018501,3600.0,330064
4018501,3600.0,330064
4018501,3600.0,330064
4019001,4500.0,324108
4019101,900.0,322113
4019101,900.0,322113
4019201,1600.0,323113
4019301,6000.0,324113
4019801,27000.0,210047
4020401,390.0,321021
4020401,390.0,321021
4020501,1560.0,321021
4020501,1560.0,321021
4020601,1800.0,321105
4020601,1800.0,321105
4020601,1800.0,321105
4020701,21900.0,380012
4021301,120.0,440030
4021401,8820.0,440032
4021801,9000.0,440078
4021801,9000.0,440078
4021901,7200.0,440012
4022001,2700.0,440013
4022101,5760.0,440015
4022201,900.0,440019
4022201,900.0,440019
4022301,180.0,440053
4022401,7200.0,440055
4022401,7200.0,440055
4022501,3000.0,321102
4022601,7200.0,321016
4022901,6000.0,320077
4023201,4200.0,320082
4029601,13500.0,200028
4029901,2250.0,341115
4029901,2250.0,341115
4030201,600.0,342105
4031101,9000.0,310107
4032601,510.0,310097
4032601,510.0,310097
4032801,3000.0,312062
4032901,120.0,310066
4033001,7550.0,312082
4033001,7550.0,312082
4033701,500.0,310059
4033701,500.0,310059
4033701,500.0,310059
4033901,150.0,310002
4034301,300.0,310007
4034301,300.0,310007
4034601,780.0,310214
4034601,780.0,310214
4034601,780.0,310214
4035001,1500.0,310230
4035201,5760.0,310231
4035401,2880.0,310234
4035401,2880.0,310234
4035501,45.0,350102
4035601,13500.0,350108
4035601,13500.0,350108
4035701,16950.0,350109
4035701,16950.0,350109
4035801,3000.0,350121
4035801,3000.0,350121
4035901,225.0,350122
4036001,9000.0,350140
4036001,9000.0,350140
4036101,150.0,310177
4036201,600.0,310185
4036401,300.0,313079
4036401,300.0,313079
4036501,900.0,314079
4036801,2880.0,310199
4036901,7200.0,310201
4037101,1470.0,360005
4037201,180.0,460423
4037301,65700.0,460519
4037501,120.0,460133
4037801,360.0,460105
4037901,120.0,460106
4038401,5475.0,460180
4038701,1560.0,460182
4038901,720.0,470705
4039301,2160.0,460202
4039501,1800.0,460419
4039501,1800.0,460419
4039601,180.0,460420
4040101,9000.0,460523
4040201,900.0,460524
4040301,720.0,460525
4040401,1440.0,460530
4040501,37500.0,460534
4040501,37500.0,460534
4040601,32850.0,460534
4040801,14475.0,460544
4040801,14475.0,460544
4040902,29700.0,460544
4041501,6000.0,460556
4041601,2880.0,460556
4043001,300.0,470607
4043101,18720.0,470610
4043301,23400.0,470617
4043402,1560.0,410640
4044101,4680.0,470769
4045701,9000.0,461023
4045801,300.0,460025
4046001,3750.0,463807
4046101,3120.0,410653
4046201,21300.0,410656
4046301,2250.0,410658
4046301,2250.0,410658
4046401,600.0,410660
4046601,780.0,464029
4046901,720.0,461057
4047501,10950.0,510640
4047701,2880.0,510703
4048301,5250.0,510411
4048501,3600.0,510426
4048601,900.0,510447
4049501,3000.0,510128
4049801,24000.0,510103
4049901,180.0,510150
4051601,600.0,510776
4052001,36000.0,521167
4052401,1350.0,520124
4052702,1560.0,520146
4052801,930.0,520228
4052801,930.0,520228
4052901,9360.0,520228
4053401,2880.0,520804
4053501,1080.0,520810
4053601,240.0,520907
4053701,1560.0,520909
4054001,4500.0,521868
4054001,4500.0,521868
4054301,375.0,520487
4054301,375.0,520487
4054701,1440.0,521524
4054701,1440.0,521524
4054801,27.5,523519
4054801,27.5,523519
4055201,4320.0,521101
4055301,1440.0,520103
4055501,4320.0,521112
4055701,60.0,521139
4055801,10080.0,521156
4056001,2880.0,521161
4056101,1440.0,521161
4056301,360.0,521165
4056401,90.0,520208
4056501,1080.0,520236
4056701,4320.0,521245
4056801,2160.0,521253
4057001,720.0,520265
4057101,1440.0,520271
4057101,1440.0,520271
4058001,1560.0,520318
4058201,36000.0,520347
4058401,10950.0,520358
4058601,60.0,520369
4059501,13200.0,526450
4059901,3000.0,525494
4060001,1560.0,524495
4060201,1500.0,528494
4060401,6000.0,526497
4060501,360.0,523498
4060701,45.0,524605
4060701,45.0,524605
4060901,9360.0,520709
4061601,2880.0,520819
4062101,720.0,520830
4062201,1440.0,520830
4062301,360.0,522842
4062601,1560.0,521885
4062701,720.0,522874
4063101,69120.0,520921
4063201,90.0,520921
4063301,240.0,520926
4063401,1440.0,520928
4063501,150.0,520933
4063501,150.0,520933
4063501,150.0,520933
4063601,1440.0,520935
4063601,1440.0,520935
4063701,360.0,560218
4063801,180.0,560218
4063901,3600.0,560221
4064901,5400.0,560333
4065001,12000.0,560335
4065101,1080.0,560405
4065701,4680.0,560462
4066901,1875.0,560129
4066901,1875.0,560129
4066901,1875.0,560129
4066901,1875.0,560129
4067001,3120.0,560129
4067101,18000.0,560130
4067201,3120.0,560229
4067301,540.0,560231
4067401,24000.0,560233
4067601,7200.0,560244
4067701,28080.0,560245
4067801,225.0,560302
4067801,225.0,560302
4067901,900.0,560314
4067901,900.0,560314
4068101,2280.0,560329
4068101,2280.0,560329
4068701,1440.0,560110
4069001,5400.0,560156
4069801,12480.0,560150
4069901,1560.0,560153
4071101,720.0,561228
4071201,390.0,562228
4071201,390.0,562228
4071301,720.0,560352
4071601,21600.0,533978
4071701,1080.0,537981
4072201,480.0,531995
4072301,4320.0,531996
4072701,4680.0,530108
4072901,300.0,530124
4072901,300.0,530124
4072901,300.0,530124
4073101,3120.0,530166
4073202,150.0,530170
4073202,150.0,530170
4073501,3120.0,530420
4073601,5760.0,530420
4073901,3480.0,530018
4073901,3480.0,530018
4074201,6720.0,530253
4074401,6240.0,530603
4074701,4500.0,530661
4074901,11520.0,530667
4075301,240.0,530304
4075301,240.0,530304
4075301,240.0,530304
4075601,840.0,530310
4075601,840.0,530310
4075601,840.0,530310
4075601,840.0,530310
4076101,180.0,530339
4076201,600.0,530341
4076201,600.0,530341
4076201,600.0,530341
4076301,9360.0,530442
4076501,1800.0,530468
4076701,2880.0,530631
4077001,2340.0,530643
4077501,600.0,530850
4077701,120.0,530159
4077801,70.0,530231
4077801,70.0,530231
4077801,70.0,530231
4077801,70.0,530231
4077901,6240.0,530241
4078101,3120.0,530548
4078201,60.0,530566
4078401,480.0,530537
4078501,300.0,533698
4078601,19200.0,531699
4078701,120.0,530697
4079201,16500.0,530925
4079201,16500.0,530925
4080001,2160.0,530132
4080201,3360.0,530135
4082001,1440.0,822669
4082201,780.0,822673
4082601,4500.0,822408
4083001,60.0,822166
4083601,90.0,823622
4083701,1200.0,820643
4085201,16425.0,824102
4085401,6240.0,821173
4085601,2880.0,823173
4085801,2880.0,821202
4086401,720.0,821206
4086801,2100.0,821289
4086801,2100.0,821289
4091001,480.0,542332
4091702,1500.0,543286
4091702,1500.0,543286
4092301,2100.0,541294
4092301,2100.0,541294
4092401,1200.0,541295
4092401,1200.0,541295
4093301,600.0,543277
4093504,720.0,542250
4093504,720.0,542250
4094601,300.0,540238
4094904,960.0,791413
4095201,4800.0,791418
4095501,600.0,791467
4099101,3000.0,543202
4099601,300.0,793469
4099701,1500.0,531001
4099901,2250.0,531007
4100101,21900.0,551234
4100901,600.0,550327
4101401,2880.0,551223
4102101,21900.0,550120
4102201,4320.0,550123
4102201,4320.0,550123
4102301,4320.0,550143
4102501,4320.0,550157
4103302,400.0,550539
4103801,7200.0,754354
4103801,7200.0,754354
4103901,3120.0,752357
4104001,9600.0,753359
4104701,2340.0,751503
4104701,2340.0,751503
4104701,2340.0,751503
4105101,2460.0,752106
4105101,2460.0,752106
4105201,4620.0,752107
4105201,4620.0,752107
4105401,2880.0,751126
4105401,2880.0,751126
4105501,900.0,753126
4105501,900.0,753126
4105501,900.0,753126
4105701,300.0,753129
4106101,1440.0,750330
4106201,16200.0,750327
4106301,2880.0,750327
4106401,12510.0,752362
4106401,12510.0,752362
4106501,120.0,753363
4106901,3120.0,750413
4106901,3120.0,750413
4106901,3120.0,750413
4106901,3120.0,750413
4106901,3120.0,750413
4107701,1800.0,754501
4107701,1800.0,754501
4107701,1800.0,754501
4107701,1800.0,754501
4107801,240.0,753507
4110701,2700.0,730724
4111101,7200.0,730728
4111201,4050.0,730729
4111401,4770.0,730735
4111401,4770.0,730735
4111601,735.0,730743
4111601,735.0,730743
4112101,1800.0,733782
4112201,720.0,735787
4112501,1500.0,730508
4113001,600.0,730539
4113201,1200.0,730547
4113401,6000.0,730575
4113501,1200.0,730588
4114001,4500.0,733886
4114401,3000.0,731893
4114501,9000.0,730898
4114701,600.0,730620
4114801,1500.0,730557
4114801,1500.0,730557
4115001,2400.0,732786
4115001,2400.0,732786
4115101,1800.0,733786
4116001,3000.0,731686
4116001,3000.0,731686
4116101,900.0,735688
4116101,900.0,735688
4116201,6000.0,732689
4116501,1800.0,730645
4116701,3120.0,730649
4116801,2160.0,730652
4116901,2700.0,730668
4117101,900.0,731785
4117801,720.0,731182
4118801,300.0,730802
4119101,2160.0,730851
