MSNO,total_dur,PostalCode,lat,long,address
4126801,900.0,764333,1.43208985750645,103.846198333971,333D YISHUN STREET 31 PCF SPARKLETOTS PRESCHOOL @ GAMBAS 333D (CC) SINGAPORE 764333
4127801,360.0,764513,1.41563356027215,103.844327816523,513D YISHUN STREET 51 SARACA BREEZE @ YISHUN SINGAPORE 764513
4127901,1080.0,760627,1.41770409927839,103.837005089412,627 YISHUN STREET 61 SINGAPORE 760627
4128001,180.0,760633,1.41865757414383,103.839842120968,633 YISHUN STREET 61 SINGAPORE 760633
4128301,270.0,760639,1.42056023821885,103.838449241015,639 YISHUN STREET 61 SINGAPORE 760639
4128901,3000.0,760726,1.4265362136527,103.830668784342,726 YISHUN STREET 71 KHATIB SPRING SINGAPORE 760726
4129001,4320.0,760727,1.42621011729954,103.831240144634,727 YISHUN STREET 71 KHATIB SPRING SINGAPORE 760727
4129201,90.0,760760,1.42579485526292,103.832724670537,760 YISHUN STREET 72 SINGAPORE 760760
4129701,27000.0,760870,1.41307365987955,103.837975857782,870 YISHUN STREET 81 SINGAPORE 760870
4129801,600.0,650121,1.35162557081969,103.748011382648,121 BUKIT BATOK CENTRAL SINGAPORE 650121
4130201,5400.0,650625,1.35138112759435,103.748585289075,625 BUKIT BATOK CENTRAL SINGAPORE 650625
4130301,36600.0,650280,1.34770147739311,103.757044584552,280 BUKIT BATOK EAST AVENUE 3 GOMBAK PLACE SINGAPORE 650280
4130501,4750.0,650264,1.34991025839712,103.759040163588,264 BUKIT BATOK EAST AVENUE 4 SINGAPORE 650264
4130701,1040.0,650236,1.34933642345807,103.755963537392,236 BUKIT BATOK EAST AVENUE 5 GOMBAK GARDENS SINGAPORE 650236
4130901,18720.0,650247,1.34992721242157,103.75698028632,247 BUKIT BATOK EAST AVENUE 5 GOMBAK VIEW SINGAPORE 650247
4131201,120.0,650207,1.34624866176031,103.749382188265,207 BUKIT BATOK STREET 21 SINGAPORE 650207
4131301,2550.0,650209,1.34548843030138,103.748737963222,209 BUKIT BATOK STREET 21 SINGAPORE 650209
4131301,2550.0,650209,1.34548843030138,103.748737963222,209 BUKIT BATOK STREET 21 SINGAPORE 650209
4131801,840.0,651293,1.34593565587377,103.754650908839,293A BUKIT BATOK STREET 21 SKYPEAK @ BUKIT BATOK SINGAPORE 651293
4131901,6650.0,651293,1.34593565587377,103.754650908839,293A BUKIT BATOK STREET 21 SKYPEAK @ BUKIT BATOK SINGAPORE 651293
